Specimen,SpeciesExpanded,Canine-Premolar contact R_X,Canine-Premolar contact R_Y,Canine-Premolar contact R_Z,Canine-Premolar contact L_X,Canine-Premolar contact L_Y,Canine-Premolar contact L_Z,Distal M3 R_X,Distal M3 R_Y,Distal M3 R_Z,Distal M3 L_X,Distal M3 L_Y,Distal M3 L_Z,Nasion_X,Nasion_Y,Nasion_Z,Nasospinale_X,Nasospinale_Y,Nasospinale_Z,Prosthion_X,Prosthion_Y,Prosthion_Z,Mid-orbit torus superior R_X,Mid-orbit torus superior R_Y,Mid-orbit torus superior R_Z,Mid-orbit torus inferior R_X,Mid-orbit torus inferior R_Y,Mid-orbit torus inferior R_Z,Dacryon R_X,Dacryon R_Y,Dacryon R_Z,Zygoorbitale R_X,Zygoorbitale R_Y,Zygoorbitale R_Z,Frontomalare Orb R_X,Frontomalare Orb R_Y,Frontomalare Orb R_Z,Infraorbital for.R_X,Infraorbital for.R_Y,Infraorbital for.R_Z,Zygomaxillare R_X,Zygomaxillare R_Y,Zygomaxillare R_Z,Alare R_X,Alare R_Y,Alare R_Z,Mid-orbit torus superior L_X,Mid-orbit torus superior L_Y,Mid-orbit torus superior L_Z,Mid-orbit torus inferior L_X,Mid-orbit torus inferior L_Y,Mid-orbit torus inferior L_Z,Dacryon L_X,Dacryon L_Y,Dacryon L_Z,Zygoorbitale L_X,Zygoorbitale L_Y,Zygoorbitale L_Z,Frontomalare Orb L_X,Frontomalare Orb L_Y,Frontomalare Orb L_Z,Infraorbital for. L_X,Infraorbital for. L_Y,Infraorbital for. L_Z,Zygomaxillare L_X,Zygomaxillare L_Y,Zygomaxillare L_Z,Alare L_X,Alare L_Y,Alare L_Z
Das Es Soltane 5,early H. sapiens,NA,NA,NA,12.4344,22.7639,14.5433,NA,NA,NA,NA,NA,NA,10.67949332,20.13790681,7.106117446,10.20157856,21.66465815,12.27864542,9.848905155,23.03407638,13.92169826,6.442155135,18.80829098,4.841454411,6.535624197,19.1131112,6.347362606,9.42792036,19.24355371,8.358844365,7.09657536,19.79769386,10.38256213,4.941336516,17.56564177,7.989575424,NA,NA,NA,5.700455642,19.50896169,13.19808492,9.769938601,20.92822397,10.9440311,14.96251248,19.42435937,5.244916974,14.78164714,19.86896006,6.85100441,12.17681959,19.40099643,8.301373732,14.51195922,20.22240867,10.22753033,16.57814179,18.58598739,8.493539351,NA,NA,NA,16.04797992,20.10161433,12.9817515,11.75276669,21.04179011,10.90257655
Jebel Irhoud 1,early H. sapiens,9.1188,23.1681,14.1823,14.2723,23.3256,13.9376,NA,NA,NA,NA,NA,NA,11.44961063,21.231177,6.75949432,11.67247913,22.99797932,11.64283233,11.60850917,24.28080649,13.64060614,7.302121676,20.07615627,5.165856793,7.450829666,20.45319922,6.143248344,10.20254713,19.88974809,7.689064232,7.912286818,20.18537871,9.867890866,5.728901642,19.27372124,7.500735532,8.563136832,20.77088975,11.05551216,6.010525508,19.82465707,12.12118814,9.849724384,22.04694494,10.9207978,15.26758273,20.8422374,4.814615986,15.33232919,21.07798806,5.759919388,12.97028399,20.42956631,7.507516843,15.23374033,20.75508365,9.69334214,17.1228431,20.41179694,12.19377782,14.60993546,21.30589155,10.72134165,17.1369522,20.34105195,12.20568285,13.28567118,22.29734136,11.04442381
Qafzeh 6,early H. sapiens,4.9431,25.7086,15.3123,9.7092,26.3991,15.4175,5.1967,21.3962,15.1099,10.4554,22.1367,15.2777,7.468621026,25.44019774,8.208336212,7.337453143,26.58659135,12.99955607,7.166174382,27.22190405,14.72782827,4.21154155,24.85627342,5.758924278,4.317683099,24.99001224,7.424228547,6.725021238,24.14563327,8.819873122,3.979431149,24.19439351,10.81094488,2.149590973,23.53660243,8.975080044,3.976084831,24.43564794,12.49722617,1.853441922,23.75398585,13.47113672,5.867216449,25.73832508,11.92545077,10.88327848,25.44504975,5.856471213,10.82761439,25.53679718,7.454991369,8.773260079,24.64961063,8.605515899,10.92511552,25.06625071,11.03424553,13.09340392,24.4694734,8.825551919,11.22312348,25.11881079,12.38311795,13.46508563,24.84859069,13.28830563,9.09851835,26.19273197,11.81106682
Qafzeh 9,early H. sapiens,12.75709803,23.86649885,15.95945422,16.56314348,22.26996589,16.49043707,10.21012508,20.32101021,14.96174115,15.25729692,17.98398736,15.75973396,15.2264755,22.21713099,9.189027982,14.80295798,22.88953893,13.77102532,15.07078865,23.93777932,15.75834569,12.06550196,22.99130736,6.734250886,11.98746375,23.15996724,7.701871825,13.71849909,22.09216389,9.355513742,11.58834388,22.72887201,11.3500562,9.582197068,22.59287932,9.155787554,11.14175932,23.32403346,12.39247954,9.147216273,22.49037675,13.20275387,13.42846957,23.36244611,12.92782449,18.08399012,20.18991235,7.368189135,18.25872803,20.41536077,8.597721035,15.96830123,20.84600302,9.506798082,17.59594253,19.92580472,11.84731668,19.24282663,18.28383576,9.73176283,18.49160025,20.49679297,12.84718674,19.31653945,18.57857478,13.83189191,16.39466191,21.99711206,12.89328911
Skhul 5,early H. sapiens,7.5506,9.2576,14.3476,7.1303,13.9714,14.5041,11.9139,9.1307,15.6495,11.463,14.9447,15.5937,10.86412616,12.33010646,7.761576424,NA,NA,NA,6.46806705,11.56896844,14.06757735,11.71568497,8.196902137,6.316739195,11.23063889,8.212013687,7.012089947,11.46793941,11.08745812,8.242082726,NA,NA,NA,12.19594162,6.658323026,8.276140512,NA,NA,NA,11.21266839,6.66304853,12.65972281,NA,NA,NA,11.12604338,15.76845748,6.4384682,10.8521275,15.76448638,7.325184319,11.34034003,13.18215056,8.269595677,NA,NA,NA,12.65924569,18.45144411,8.460109967,NA,NA,NA,9.895142563,17.33965053,12.83430429,NA,NA,NA
Dmanini2,H. erectus,11.5952,27.9326,10.3406,16.2031,27.4942,10.1649,11.1822,23.4332,10.6448,15.7467,23.0305,10.4252,NA,NA,NA,13.81949767,26.9062359,8.119528862,13.96933977,28.9015346,9.488296565,10.12085928,23.50973068,2.18554637,10.15561035,24.19360569,3.042300258,NA,NA,NA,NA,NA,NA,7.911265634,23.38288168,4.245376148,10.44283947,26.20111776,7.409906527,8.542720379,25.84406684,9.078100054,12.29739116,26.89109269,6.607456366,15.39722938,23.37403185,2.310495395,15.62642581,24.15763048,3.323926615,NA,NA,NA,NA,NA,NA,17.4950871,23.43400796,4.540351405,16.41273388,26.19234225,7.149172435,18.45000035,25.82950352,8.645401339,14.9643548,26.46782436,7.467587352
KNM ER 3883,H. erectus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.96497436,23.30064957,6.294518397,NA,NA,NA,NA,NA,NA,8.185314712,23.53406702,4.424956028,8.315843451,23.76450577,5.659831091,10.74497372,22.45112306,7.000437599,8.15465799,23.36096161,9.134744184,6.445720348,22.43355567,7.235897135,NA,NA,NA,5.356485832,21.73370046,12.37269972,10.74431498,24.22361101,11.58626259,15.3734216,23.04558441,4.232793345,15.31923359,23.16750842,5.42833985,13.24923437,22.3183129,6.842024305,16.16853314,22.9359563,8.627806395,17.13324723,21.20572981,6.245800406,NA,NA,NA,19.16427578,21.00142251,11.49925331,14.01286405,24.05026782,11.37950232
KNM WT 15000,H. erectus,10.8912,22.4941,12.0552,16.325,22.3176,12.2747,10.7626,17.9446,12.4683,16.2779,18.0444,12.4124,NA,NA,NA,13.64478139,22.16948726,9.646144753,13.75500074,23.79691947,11.17069926,11.01354022,18.63839087,1.579400212,10.81816297,19.202133,2.466536979,12.09097982,19.24498675,5.318336232,10.26467925,20.10417969,7.373151729,9.071911374,18.42078021,4.823790848,10.52411919,20.89747433,8.721754392,8.331173251,19.98725642,9.451270046,11.84615885,21.8509133,8.872039974,17.26049664,18.55245365,2.238722151,17.28166912,19.11321677,3.148714206,15.44330216,19.19887001,5.672150076,17.16700954,19.85955803,7.500380078,19.15562444,18.26811507,4.972687247,16.6998933,20.7074106,8.598218178,18.69595754,19.74518621,10.22562129,15.51793499,21.61926429,8.837621899
KNM ER 1470,early Homo,12.8479,24.0688,13.2233,18.1932,24.1672,13.9409,NA,NA,NA,NA,NA,NA,16.6511583,20.18837976,5.282407493,15.75231933,22.50372347,10.73828259,15.56918454,24.75715862,13.06079673,12.89161971,19.23323978,3.785884456,12.7180449,19.4788008,4.642866522,15.43173657,19.49613265,6.740296019,12.96653345,20.44627691,7.99224199,11.69706904,19.55101291,5.770001715,13.61726976,21.51368735,9.503309386,NA,NA,NA,15.01263113,22.03484732,9.881356379,20.35773406,19.09320676,4.329311298,20.41446693,19.33444818,5.203056485,17.69812863,19.49141664,6.749772793,19.72002341,20.31960974,8.483799921,21.94524553,18.3888265,6.246922799,18.89768122,21.41464896,9.887648172,NA,NA,NA,17.48271362,21.98851892,10.06114322
KNM ER 1813,early Homo,15.6857,21.6611,10.917,19.9712,21.0599,11.3414,14.8334,17.0189,11.5539,19.4987,16.1206,11.9369,17.45873598,19.23825871,5.218860217,17.95490539,20.58748314,9.125063031,18.10835199,22.27668765,10.64040709,14.32258855,18.72662961,3.173342024,14.42882855,19.23053089,3.971422123,16.29012079,18.54761565,5.732178666,14.72578027,19.46562708,7.10756097,13.09464582,18.37293858,5.401320272,15.37529656,19.97079671,8.422390561,NA,NA,NA,16.67661829,20.53716467,8.489339851,20.09835853,18.215661,3.595409581,20.14783411,18.77855763,4.571790152,18.40951185,18.16368037,5.978516363,20.5497871,19.04271731,7.217351311,21.67685548,17.62973452,5.770830208,19.93120116,19.63997007,8.508275473,NA,NA,NA,19.09647385,20.21627878,8.602957168
